GT Label,Predicted Text
Glas B-2: 364 Kg,8.2: Gias 364 Ko
Glas 8mm: 136 Kg,Glas 6mm: 136 Kg
"Glas 8/14/6/14 8-2 . UWert: 0.6 W/m2K 3232*2728, 683 Kg.",|__Gias UWert: 0.8 WimaK
Glas 8mm: 182 Kg,Glas em: 182
Wasserschlitz im Pfoil und Glasleiste,—_ wo
Glasunterlage 4mm,Sra
CF St 3mm 60*300,Sa
Pour le tapis: 5mm,Pour le tapis: 5mm tapis: 5mm
"Alu 15*39,8-450",aus oS ge
Canal Tehalit BK Brodway,Canal Tehalit BK Brodway
"Feuille etanche grise 330mm, coliee sur profil aluminim","50am, Feuille étanche colder rol uiniam"
Gaujon M12*100 Inox,"Goujon M12""100 Inox"
MS polymere hybride blanc,MS polymére hybride blanc
Equerre alu 30*30*2,——
Canal Tehalit BK Broadway,Canal Tehalit BK Brodway
Plat ALu 30*3,pial
Tole alu 3mm lineare,et en
Tole acier sendzimir 4mm,ni dy
Isover 30 PB F Isover 60 PB F Extra,er
