GT Label,Predicted Text
ALPHATON-ZIEGELFASSADE Querformat- Ausführung 2.6.1a M 1:1 (V) SOckel mit Beton Alu-Unterkonstruktion,ALPHATON Ziegelfassade Querformat- Ausfuehrung 2.6.1a M 1:1 (V) Sockel mit Beton Alu-Unterkonstruktion
GLEITPUNKT,1
ALPHATON-ZIEGELPLATTE,ZIEGELPLATTE ALPHATON
DUEBEL,DUEBEL
GEMAESS STATISTIK,GEMAEss STATIK
U-HALTER,U-HALTER
THERM. TRENNELEMENT,1
WANDWINKEL,WANDWINKEL
TRAG-PROFIL,TRAG- PROFIL
BOHRSCHR,BOHRSCHR
UK TRAGPROFIL,UK TRAGPROFIL
WAERMEDAEMMUNG,1
RAPID FEDER,RAPID FEDER
LOCHPROFIL 30/50,1
WINKELBLECH,1
ACHSE,ACHSE
