GT Label,Predicted Text
ALPHATON-ZIEGELFASSADE Querformat- Ausführung 2.6.1a M 1:1 (V) SOckel mit Beton Alu-Unterkonstruktion,ALPHATON - Ziegelfassade Querformat- Ausfuehrung 26.1a M1:1(W) Sockel Beton mit Alu-Unterkonstruktion
GLEITPUNKT,GLEITPUNKT
ALPHATON-ZIEGELPLATTE,ZIEGELPLATTE - ALPHATON
DUEBEL,Gc: oO wD m
GEMAESS STATISTIK,GEMAEB STATIK
U-HALTER,U-HALTER
THERM. TRENNELEMENT,THERM TRENNELEM! ENT
UK TRAGPROFIL,UK TRAGPROFIL
LOCHPROFIL 30/50,LOCHPROFIL 30/50
WINKELBLECH,WINKELBLECH
ACHSE,ACHSE
