GT Label,Predicted Text
RENSON-Lamelle Typ 481 (vor Nachtbelüftung) mit Insektenschutz,RENSON 5 481 1 5 JoA ) E Insekiensqut
Zarge Kantteil aus ALuminium 2mm,1 us Alumnnium 2mn
VSG mit Mattfolie im Bereich Fluegel Nachtauskuehlung,VSG mit Mattfolie im Bereich 1
AK Rohbau,1
Konstruktion / Ausführung des bauseitigen Sonnenschutz siehe Fachplanung ausfuehrender Firma. Abstimmungsbedarf.,Konstruktion / Ausfuehrung des bauseitigen Sonnenschutz siehe Fachplanung ausfuehrende Firma |
184080,184080
Fluegel für TipTronic Beschlag,1
erforderlicher Platzbedarf umlaufend (Gehrungschnitt) neben Fluegelueberschlag mind. 6mm ggf. Winkel kuerzen (Aufmaßteil),1 1 (Gehrunçschnitt) neben Flugeluberschlog mind 6mm 2 Winkel 1
Befestigung des bauseitigen Halters bedarf der Abstimmung mit FA. Schumacher's (Abdichtung etc.),Befestigung 8 bauseitigen #hlters ; der 1 3 Schumacher s 1 5
319520,319520
Winkelprofil Aluminium 25x25x2 geklebt,1 Aluminium 25x25x2 geklebt
224386,{
"Kompriband bauseits (Gewerk, Gußboden, Material-Kompabilität)",Kompriband bauseits 1 Material 1
Fensterbank aus Alu als Kantteil mit Fensterbankhalter und Anti-Dröhn-Beschichtung,1 auS | Alu als Kantteil 2 FehsterbankHalter undAdti_Droehn_Beschichtung
320090,320090
Fußboden bauseits,1
238928 Fensterbankabschluss für Klinker oder Sichtbeton für 280mm Fensterbank ggf. anpassen,2388Z/ker Fensterb tur oder 7 tur 28umm 1 7bÊ anpassen
verdeckte Entwaesserung,1
189970,9970
Lage vertikales Kompriband mind. bis OK Stahlprofil herunterführen und mit KS-Profil verbinden,Lage vertikales Kompriband 2 bis OK Stahlproril heruntertuhren und mit KsProfll_verbnnden
Dampfsperre Folie 1/250 mm seitlich an Leibung kleben,Dampfsperre Folie 8 E 9 an 1
Konsole aus St-Flach stueckweise,Konsole 1 sluckweise
Schueco-Fensterbankhalter 238964 mit 238965 (140-240mm FB) 238966 (260-360mm FB),Schuco-Fensterbankhalter 238964 2 1 2 238966 (260 9
Uebergabepunkt bauseitig gestelltes E-Kabel Sonnenschutz + E-Kabel Fluegelantrieb,Ubergabepunkt bauseitig gestelletes E Kabel 1 Kabel_Flugelantrieb
Kante Naturstein,1
Kante Rohbau,1
"Duebel HILTI HUS-H 10,5x55",Dubel 5 HUS H10 5x55
