GT Label,Predicted Text
Zarge Kantteil aus ALuminium 2mm,4 Zarge Kantteil aus Aluminium 2mm.
RENSON-Lamelle Typ 481 (vor Nachtbelüftung) mit Insektenschutz,RENSON—Lameife Typ 481 (vor Nachtbelijftung mit Insektensdihutz
VSG mit Mattfolie im Bereich Fluegel Nachtauskuehlung,VSG mit Mattfolie im Bereich 1 Kin!
Konstruktion / Ausführung des bauseitigen Sonnenschutz siehe Fachplanung ausfuehrender Firma. Abstimmungsbedarf.,Konstruktion / rung des bauseitigen Soni chutz siehe Fachplai ausfilhrende Fi Abstimmungsbedarf.
184080,184080
Fluegel für TipTronic Beschlag,ligel = fiir ronic Bes¢hl
erforderlicher Platzbedarf umlaufend (Gehrungschnitt) neben Fluegelueberschlag mind. 6mm ggf. Winkel kuerzen (Aufmaßteil),erforderlicher Platzbedar umlaufend (Gehrungschnjtt) neben Fliigelliberschlag mind. @mm _ gf. Winkel klirz AufmaBteil)
Befestigung des bauseitigen Halters bedarf der Abstimmung mit FA. Schumacher's (Abdichtung etc.),Befestigung Hes bauseitigen Iters bedarf der mit Fa. Schumacher’s ” Abdichtun.
319520,319520
Winkelprofil Aluminium 25x25x2 geklebt,Winkelprofil Aluminium 25x25x2 Jebt
"Kompriband bauseits (Gewerk, Gußboden, Material-Kompabilität)","Kompriband bauseits (Gewerk FuBboden, ste Matericl—Kerm THE atibilitat)"
Fensterbank aus Alu als Kantteil mit Fensterbankhalter und Anti-Dröhn-Beschichtung,ous Alu als Kamtteil mit. FehsterbankHalter und Anti-Dréhn-Beschichtun
320090,a
238928 Fensterbankabschluss für Klinker oder Sichtbeton für 280mm Fensterbank ggf. anpassen,ene Fensterbankabschluss fur Klinker oder Sichtbeton fir 286mm Fensterbank gaf. arpassen
verdeckte Entwaesserung,verdeckte Entwasserung!'
189970,5 g =
Lage vertikales Kompriband mind. bis OK Stahlprofil herunterführen und mit KS-Profil verbinden,Lage vertikales Kompriband mind. bis OK Stahlprofil herunterfiihren und mit KS—Profil_verbinden =~
Dampfsperre Folie 1/250 mm seitlich an Leibung kleben,Dampfsperre Folie 1/250 mm seitlich_an Leibung kleben
Konsole aus St-Flach stueckweise,Konsole aus St—Flach i
Schueco-Fensterbankhalter 238964 mit 238965 (140-240mm FB) 238966 (260-360mm FB),hiico—Fensten halter 238964 mit 238965 (150-2 FB
Uebergabepunkt bauseitig gestelltes E-Kabel Sonnenschutz + E-Kabel Fluegelantrieb,"Ubergabepunkt bauseitig =, gestelletes E—Kabel Sonnenschute + E-Kobel Fliigelantrieb"
Kante Rohbau,Kante Rohbau
